"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent"
"Schanuel, Nolan","694384","2024","22","434","509","109","81","16","0","12","86","58",16.9,11.4,".251",".371",".347","0.718",".264",".374",".320",".328",".359",".110",65.2,1.9,6.2,5.4,37.3,32.5,"6.6","10","86.2","9.3",36.8,3.9,25.8,"95.430005086","91.727874728",61.6,10.5,21.3,25.8,73.2,"54","209",49.5,"981","260","1196","409","1983",88.7,"65","617",50.5,"1002",42.9,"851",14.4,41.7
"India, Jonathan","663697","2024","27","445","523","110","72","25","1","12","106","63",20.3,12,".247",".389",".349","0.738",".273",".419",".327",".350",".372",".146",71.6,21.9,12.8,10.6,30.7,25.5,"7.2","22","87.3","13.1",38.8,8.1,37.7,"99.13082907","93.677738017",57.6,11.5,19.2,43.1,56.4,"88","204",49,"1061","194","1296","526","2166",88.4,"73","637",51,"1105",43.6,"944",19.1,38.8
"Marte, Ketel","606466","2024","30","436","500","130","78","20","2","30","89","52",17.8,10.4,".298",".560",".370","0.930",".299",".541",".389",".390",".376",".241",73.6,39.2,20.9,16.5,39.8,31.4,"7.6","4","93.7","8.6",33.7,11.5,53.7,"103.709947853","96.750406808",71.7,14.9,26.5,40.2,59.3,"97","241",50.6,"910","408","978","331","1796",84.7,"95","636",49.4,"887",42.6,"766",21.9,48.8
"Turner, Justin","457759","2024","39","374","433","92","67","18","0","7","77","45",17.8,10.4,".246",".350",".342","0.692",".250",".371",".311",".323",".348",".121",65.2,0.6,4.4,3.8,31.1,26.8,"6.3","10","86.6","16.9",38.3,3.7,31.7,"96.392133267","92.247247533",65.8,11.4,25.1,31.1,68.9,"73","235",49.7,"935","137","1270","372","1883",88.6,"71","624",50.3,"948",43.4,"817",16.8,45.6
"Volpe, Anthony","683011","2024","23","547","591","138","93","27","7","11","130","36",22,6.1,".252",".388",".303","0.691",".240",".342",".300",".280",".293",".101",69.1,3,10.6,8.3,33,25.9,"7.1","25","87.9","7.3",33.1,4,37.4,"98.480214175","93.412015182",66.5,16.9,29.7,37.9,61.5,"129","340",48.4,"1145","210","1319","650","2364",81.9,"137","811",51.6,"1219",43.6,"1031",23.1,48.7
"De La Cruz, Elly","682829","2024","22","503","569","133","74","29","8","22","171","57",30.1,10,".264",".485",".346","0.831",".244",".449",".357",".335",".328",".204",75,52.9,19.8,14,32.5,23,"7.2","21","92","10.5",35.5,12.8,46,"103.08416297","96.00606772",62,23.6,25.8,51.8,47.5,"158","305",52.4,"1184","420","1202","504","2258",74.9,"157","666",47.6,"1074",41.2,"930",32.4,43
"Vierling, Matt","663837","2024","27","432","467","111","67","24","5","15","96","28",20.6,6,".257",".440",".304","0.744",".260",".415",".319",".314",".308",".155",71.2,12.4,15.6,12.7,35.6,29.1,"7.4","5","89.7","13.2",32.9,8.5,40.1,"100.284860599","94.338148084",63.3,12.6,22,39.4,60.6,"78","198",47.6,"900","186","1154","408","1903",87.2,"79","627",52.4,"990",41.5,"785",19.1,43.7
"Canha, Mark","592192","2024","35","363","427","87","61","19","0","7","90","47",21.1,11,".240",".350",".342","0.692",".213",".313",".309",".290",".323",".100",68.2,3.3,10.5,8.3,37.3,29.6,"7.2","14","88.4","9.9",32.4,3.6,37.4,"98.12602705","93.205256799",59.4,17.1,23.2,35.7,64.3,"74","207",49.9,"893","156","1022","485","1788",82.7,"91","532",50.1,"895",43.6,"780",22.3,41.3
"Bregman, Alex","608324","2024","30","501","545","131","82","26","2","21","73","37",13.4,6.8,".261",".447",".317","0.764",".261",".424",".330",".323",".318",".163",71.2,11.5,13.2,11.8,38.3,34,"7","7","89.4","18.9",34.2,6.3,41.6,"99.053198279","93.730176558",65.5,8.7,23.2,25.4,74.6,"59","232",48.6,"1000","204","1238","466","2056",91.3,"60","692",51.4,"1056",43.1,"886",12.9,44.9
"France, Ty","664034","2024","29","373","421","86","56","19","0","11","98","32",23.3,7.6,".231",".370",".311","0.681",".231",".404",".302",".314",".313",".174",70.6,12,11.2,8.7,30.6,23.7,"7.6","13","88.6","13.9",32.7,7.9,38.8,"99.52792554","93.90713446",71.7,17,25.5,43.7,56.3,"90","206",49.4,"807","148","986","371","1635",83,"101","594",50.6,"828",42.4,"694",23.9,48.9
"McMahon, Ryan","641857","2024","29","471","539","115","73","25","0","17","152","60",28.2,11.1,".244",".406",".331","0.737",".247",".424",".322",".331",".336",".177",72.5,27,17.1,12.1,31.4,22.2,"7.2","21","92.4","9.6",35.7,11.5,49.7,"103.074313711","96.315481164",65,22.9,26.4,50.7,49,"145","286",47.3,"1084","271","1440","437","2289",77.1,"180","785",52.7,"1207",42.1,"964",30.3,46.8
"Kwan, Steven","680757","2024","26","432","477","130","99","15","3","13","41","40",8.6,8.4,".301",".440",".364","0.804",".287",".393",".352",".329",".352",".106",64.5,0.3,6.4,5.9,42.4,39.5,"6.5","5","86.1","14.7",37.7,2.5,22.9,"94.953562656","91.477993411",58.3,4.4,19.6,18,82,"32","178",48,"910","280","1154","372","1894",95.3,"25","574",52,"985",43.7,"829",7.6,39.7
"Chapman, Matt","656305","2024","31","492","559","121","67","32","1","21","137","60",24.5,10.7,".246",".443",".333","0.776",".255",".461",".335",".347",".343",".206",76.5,65.5,18.1,13.8,27.4,20.9,"7.4","19","93.2","16.2",31.1,12.9,48.6,"104.529199492","96.847024249",64.3,19.5,24.1,35.3,64.7,"97","275",48.5,"1143","198","1376","602","2359",80.5,"152","781",51.5,"1215",43.4,"1023",23.6,44.8
"Hoerner, Nico","663538","2024","27","482","537","123","89","28","1","5","59","40",11,7.4,".255",".349",".326","0.675",".274",".349",".300",".311",".345",".075",68.1,2.7,7.2,6.4,34.6,30.9,"7.1","10","85.5","10.1",35.2,1.4,28.4,"96.157240282","92.091359388",61.5,7,32.7,22.2,77.1,"70","315",49.1,"963","176","1173","441","1962",92.5,"43","615",50.9,"1000",43.1,"847",12.2,47.4
"Ozuna, Marcell","542303","2024","33","499","565","154","91","26","0","37","141","59",25,10.4,".309",".583",".382","0.965",".296",".617",".408",".418",".375",".321",74,43.3,19.7,13.6,33.1,22.8,"7.4","4","92.4","14.6",40.9,17.1,54,"103.513175","96.627359333",73.2,23,26.6,49.9,50.1,"175","351",55.9,"1322","280","1276","591","2368",77,"176","765",44.1,"1045",40.1,"948",31.4,47.2
"Winn, Masyn","691026","2024","22","472","517","135","96","24","4","11","84","36",16.2,7,".286",".424",".335","0.759",".269",".372",".328",".305",".321",".103",70.1,9.9,11.8,9.7,31.3,25.8,"7.3","10","86.5","13.2",34.8,3.3,30.8,"97.624351846","92.825207352",64.5,12.7,30.3,31.2,68.8,"94","301",48.4,"993","188","1216","491","2057",86.2,"87","683",51.6,"1059",43.4,"891",18.4,47.8
"Langeliers, Shea","669127","2024","26","394","436","87","47","16","2","22","119","33",27.3,7.6,".221",".439",".287","0.726",".237",".457",".310",".326",".303",".221",74.2,42.3,18.3,13.3,32.2,23.3,"7.3","6","90.9","16.4",34.1,13.3,42.7,"101.731529786","95.207296631",68.9,18.8,31.4,51.2,48.8,"132","258",52.1,"822","194","838","426","1578",81.2,"98","521",47.9,"756",43.4,"685",29.5,49.4
"Bellinger, Cody","641355","2024","28","415","457","111","75","22","1","13","69","35",15.1,7.7,".267",".419",".326","0.745",".240",".380",".319",".295",".303",".140",69.2,5.2,9.7,7.6,38.7,30.5,"7.6","13","87.4","16.1",33.4,5.4,31.7,"97.206429771","92.690109543",66.9,16.5,32.5,33.8,66.2,"89","263",49.5,"809","246","937","347","1635",83.5,"91","553",50.5,"826",43.1,"704",22.1,49.9
"Carroll, Corbin","682998","2024","23","481","553","108","63","16","12","17","100","56",18.1,10.1,".225",".414",".311","0.725",".247",".390",".315",".321",".333",".143",73.7,37.5,17.9,14.2,35.1,27.9,"7","3","89","11.9",26.2,6.2,39.2,"100.773261094","94.554410859",60.1,12.2,25.4,36.2,62.8,"102","282",52.7,"1110","250","1285","445","2105",87.3,"73","598",47.3,"995",41,"862",19.9,41.8
