"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent"
"Meyers, Jake","676694","2024","28","392","434","91","58","18","3","12","100","29",23,6.7,".232",".385",".296","0.681",".254",".422",".298",".323",".318",".168",68.9,8.5,12.3,9.2,33.3,24.8,"7","22","89.1","14.6",35.7,7.7,40.1,"100.111643125","94.172895938",69,15.6,31.1,51,49,"123","241",50.8,"775","193","801","402","1527",82.9,"81","519",49.2,"752",43.6,"666",26.8,49.8
"Westburg, Jordan","676059","2024","25","390","420","105","57","25","5","18","90","21",21.4,5,".269",".497",".317","0.814",".286",".509",".348",".361",".335",".222",71,10.7,16.9,12.3,37.8,27.5,"6.8","16","91.4","13.9",38.4,12.3,47,"101.956599735","95.397041296",72,20.2,31,49.8,49.8,"117","235",49.8,"757","169","769","426","1520",79.8,"111","549",50.2,"763",41.8,"635",29.1,51.6
"Thomas, Lane","657041","2024","28","376","427","87","56","20","3","8","106","40",24.8,9.4,".231",".364",".311","0.675",".248",".368",".298",".311",".329",".120",71.5,16.4,15.1,12,33.5,26.6,"6.7","14","89","17",32.4,6.2,40.7,"100.176763841","94.294845055",63.7,16,22,40.1,59.9,"75","187",50.2,"850","169","970","431","1692",84,"86","536",49.8,"842",43.6,"738",22.3,42.7
"Torres, Gleyber","650402","2024","27","471","537","113","81","20","0","12","113","54",21,10.1,".240",".359",".318","0.677",".231",".367",".300",".303",".312",".137",70.2,9.6,9.4,7.4,31.4,24.7,"7.3","16","88.3","15.9",37.3,6.5,34.7,"98.015426813","93.152375262",70.2,19.8,21.7,36.5,63.5,"89","244",49.5,"1125","288","1210","575","2280",80.1,"159","805",50.5,"1147",43.1,"979",23.6,46.2
"Díaz, Yandy","650490","2024","32","491","537","134","96","26","1","11","82","39",15.3,7.3,".273",".397",".328","0.725",".275",".420",".317",".328",".332",".144",73.1,33.4,22.3,19.6,37.7,33.2,"7.5","1","92.4","4.9",28.6,7.3,49.6,"103.315838058","96.252191509",64.1,10.3,22.7,24.1,75.9,"56","232",48.5,"1022","215","1324","438","2107",89.7,"72","696",51.5,"1085",43.9,"925",13.8,44
"Donovan, Brendan","680977","2024","27","486","540","128","89","27","2","10","65","38",12,7,".263",".389",".330","0.719",".269",".413",".316",".328",".336",".144",69.8,8.6,13.5,11.7,40.4,35.1,"6.9","13","88.3","13.8",35.1,4.9,36.1,"98.241372476","93.237970286",63.1,8,24.3,32,65.6,"78","244",49.6,"1006","260","1222","431","2033",90.9,"52","646",50.4,"1024",43.1,"875",14.6,43.8
"Young, Jacob","696285","2024","24","391","435","101","76","21","1","3","84","24",19.3,5.5,".258",".340",".316","0.656",".267",".334",".292",".295",".325",".067",68.3,1.4,9,7.4,36.8,30,"7","16","85.4","4.1",29.3,1.6,28.1,"96.479456434","92.296336351",59.6,11.7,28.7,36.2,56.9,"79","218",47.3,"760","149","909","414","1607",84.8,"59","505",52.7,"847",43.9,"706",19.1,45
"Happ, Ian","664023","2024","29","460","537","111","55","32","1","23","143","70",26.6,13,".241",".465",".346","0.811",".247",".480",".351",".360",".353",".233",72.3,22.9,14.8,10.8,31.2,22.8,"7","15","91","15",37.9,13.5,45.5,"101.86460673","95.46189261",66.8,21.4,22.4,47.6,52.4,"119","250",49,"1115","473","1262","406","2276",78.3,"166","775",51,"1161",45.2,"1029",27.8,45
"Gelof, Zack","680869","2024","24","390","433","80","50","12","2","16","149","33",34.4,7.6,".205",".369",".271","0.640",".198",".362",".280",".279",".269",".164",71.8,12.3,11.9,7.9,31.1,20.6,"7.3","17","89","14.4",34,9.3,36,"98.593071074","93.425144606",70.8,26.1,27.7,60.8,39.2,"135","222",48.7,"801","201","847","474","1644",73.4,"156","597",51.3,"843",43.9,"722",35.5,49.8
"Cowser, Colton","681297","2024","24","406","456","100","59","20","2","19","135","40",29.6,8.8,".246",".446",".322","0.768",".241",".460",".331",".337",".321",".219",73.8,41.3,17.6,12.9,33.5,24.6,"6.9","15","90.7","12.4",33.2,13.9,47.4,"101.923185985","95.483922555",64.2,20,24.9,56,44,"126","225",49,"904","334","964","445","1845",79,"121","604",51,"941",44.1,"813",29.8,44.9
"Adames, Willy","642715","2024","28","499","568","126","74","28","0","24","144","65",25.4,11.4,".253",".453",".338","0.791",".250",".476",".342",".348",".336",".226",73.6,33.4,13.5,9.9,29.7,21.7,"8.1","6","89","19.4",37.7,11.5,40.5,"99.74755743","94.128774693",70.2,20.7,26.9,51.6,48,"158","306",50.5,"1139","232","1363","498","2254",79.2,"162","783",49.5,"1116",42.5,"958",29.4,48.3
"Merrill, Jackson","701538","2024","21","462","494","134","87","22","6","19","89","23",18,4.7,".290",".487",".322","0.809",".301",".527",".344",".365",".333",".227",71.9,19.4,14.5,11.8,30.4,24.8,"7.5","22","90.1","14.2",40.7,10.8,43.8,"100.495875767","94.582099178",79,13.3,35.6,35.5,64.2,"120","338",51.2,"949","277","1041","426","1852",86.4,"95","713",48.8,"903",42.4,"786",20.5,56.7
"Raleigh, Cal","663728","2024","27","438","502","92","52","13","0","27","149","55",29.7,11,".210",".425",".303","0.728",".229",".488",".313",".345",".322",".258",74.4,44.2,16.1,11.7,28.2,20.5,"7.7","12","91.6","21.2",37.2,16.4,49.8,"102.268652603","95.694951849",73.5,21.5,32.3,47.2,52.8,"161","341",52.1,"1056","488","980","456","2024",78.2,"153","712",47.9,"969",43.6,"882",29.8,52
"Springer III, George","543807","2024","34","466","525","102","64","17","2","19","101","52",19.2,9.9,".219",".386",".302","0.688",".254",".428",".302",".332",".333",".174",71.9,23.4,15.1,11.7,32,24.7,"7.4","20","87.9","9.5",29.7,10.1,38.6,"100.240231429","94.241188324",73.7,18,24.1,47.8,52.2,"109","228",48.4,"948","206","1133","483","1965",82,"134","746",51.6,"1012",43.6,"854",25,49.7
"Walker, Christian","572233","2024","33","401","461","102","59","20","0","23","114","48",24.7,10.4,".254",".476",".338","0.814",".249",".482",".347",".361",".342",".232",75.1,55,16.1,12.4,25.7,19.8,"7.5","26","90.9","17.2",36.2,14.7,46.4,"103.046162177","95.914936826",73.1,17.9,23.8,48.9,51.1,"115","235",51.1,"987","236","1058","485","1932",82.1,"124","691",48.9,"945",41,"793",25.8,47.9
"Arcia, Orlando","606115","2024","29","450","492","101","68","20","0","13","102","32",20.7,6.5,".224",".356",".275","0.631",".210",".329",".274",".262",".265",".119",70.8,13.4,12.1,9.1,35.7,26.8,"7.9","16","88.5","9.1",30.6,4.8,37.4,"98.297746441","93.247734079",69.4,18.5,26.7,47.2,52.4,"119","252",49.2,"945","167","1071","511","1920",81.2,"125","677",50.8,"975",41.4,"794",26.3,48.4
"Taveras, Leody","665750","2024","25","402","442","92","65","15","3","9","88","33",19.9,7.5,".229",".348",".285","0.633",".252",".388",".278",".304",".308",".136",71.3,14.7,15.8,11.6,35,25.8,"7.4","4","89.4","13.4",32.4,5.3,37.7,"99.64325051","93.924737252",69,17.1,29.3,43.8,54.2,"110","251",51.3,"858","368","869","362","1674",82.1,"96","563",48.7,"816",44.3,"741",25.3,48.6
"Diaz, Yainer","673237","2024","25","474","502","141","101","21","3","16","81","19",16.1,3.8,".297",".456",".323","0.779",".303",".479",".333",".346",".330",".176",72.5,24.1,17,13.4,34.5,27.2,"7.4","11","90.2","9.6",34,8.3,47.3,"101.3243983","95.02409055",76.6,12.3,41.8,38.2,61.8,"147","385",53.5,"921","213","870","472","1720",87.7,"75","612",46.5,"799",40.2,"692",22.3,58
"Keith, Colt","690993","2024","22","432","465","113","84","14","3","12","87","30",18.7,6.5,".262",".391",".312","0.703",".276",".414",".307",".322",".325",".138",71.1,12.9,13.8,11,36.3,29.1,"6.7","11","87.7","11",34.1,5.8,36.1,"98.695231272","93.445912659",67.4,11.8,29.2,43.1,56.9,"107","248",51,"848","339","827","420","1675",88.2,"65","550",49,"816",41.6,"693",21.7,47.9
"Kelenic, Jarred","672284","2024","24","384","417","89","56","18","2","13","126","28",30.2,6.7,".232",".391",".284","0.675",".240",".409",".292",".304",".293",".169",72.3,22.7,16,10.7,35.5,23.8,"7.3","18","89.6","15.2",37.4,9.2,43.9,"100.098461756","94.356609234",69.9,23.2,29.8,59.5,40.1,"141","237",49.2,"796","299","852","371","1617",76.7,"133","574",50.8,"821",42.6,"689",33.8,50.2
"Arozarena, Randy","668227","2024","29","449","531","98","55","25","0","18","135","61",25.4,11.5,".218",".394",".333","0.727",".226",".399",".323",".332",".343",".173",72.7,32.6,15.6,11.5,33,24.3,"7.4","14","90.5","14.2",29.7,8.5,42.6,"100.871822468","94.733894082",60.6,24.5,24.3,40.7,59.3,"118","290",52.9,"1194","266","1251","544","2256",75.5,"158","644",47.1,"1062",42.8,"965",29.6,41.4
"Bleday, JJ","668709","2024","26","469","527","113","58","33","4","18","97","55",18.4,10.4,".241",".443",".323","0.766",".251",".419",".331",".328",".333",".168",72,18.3,15.6,11.9,34.2,26.1,"7.3","12","88.6","19",38.1,8,36.7,"99.083057742","93.591625013",67.3,17.2,24,45.1,54.1,"116","257",51.9,"1071","423","1029","523","2063",82.3,"115","668",48.1,"993",45.8,"946",25,44.8
"Freeman, Freddie","518692","2024","34","451","532","128","78","31","2","17","84","65",15.8,12.2,".284",".475",".382","0.857",".284",".479",".366",".373",".385",".195",69.7,9.5,12.8,10.3,33.3,27,"6.8","9","89.5","14",43.2,9.4,41.6,"100.362983422","94.517187373",73.7,17.8,26.5,28.4,71.6,"80","282",51.5,"1066","259","1221","459","2071",82.2,"132","741",48.5,"1005",43.1,"892",20.8,49.4
"Machado, Manny","592518","2024","31","487","529","133","85","26","0","22","100","38",18.9,7.2,".273",".462",".325","0.787",".273",".459",".335",".336",".329",".185",75.1,50.8,20.7,16.4,32.8,26,"7.8","20","92.3","12.4",34.4,10.5,48.7,"103.224216392","96.088485943",72.4,16.3,29.1,41.7,58.3,"115","276",48.7,"950","216","1182","416","1952",83.7,"118","725",51.3,"1002",44,"858",23.3,51.3
"Schwarber, Kyle","656941","2024","31","463","567","112","67","17","0","28","161","92",28.4,16.2,".242",".460",".369","0.829",".248",".481",".358",".368",".375",".233",77.3,75.7,22.8,16.3,32.9,23.5,"7.7","31","93.8","15.5",30.4,13.6,54.7,"104.980331613","97.401104563",58.3,23.9,20.3,54.4,45.6,"137","252",52.5,"1241","352","1217","637","2361",76.1,"156","653",47.5,"1121",41.2,"973",32.4,38.3
"Olson, Matt","621566","2024","30","497","561","115","61","30","1","23","150","52",26.7,9.3,".231",".435",".312","0.747",".241",".439",".321",".331",".323",".199",73.7,39.4,14.1,10.2,25.2,18.3,"7.4","9","91.3","15.3",35.6,12,46.4,"102.791767701","95.869147759",72.3,22.9,29.4,36.4,63.4,"136","374",51.7,"1274","294","1487","537","2463",77.1,"197","860",48.3,"1189",42.9,"1056",27,50.1
"Judge, Aaron","592450","2024","32","468","590","156","73","31","1","51","138","110",23.4,18.6,".333",".731",".467","1.198",".314",".749",".489",".486",".452",".435",77,74.2,26.3,18.8,34.5,24.7,"8.2","7","95.8","18.6",40.7,27.1,59.6,"106.988092289","98.864433535",66.1,22.5,19.2,55.5,44.5,"132","238",51.8,"1242","340","1236","602","2400",77.3,"172","763",48.2,"1155",41.1,"986",30.4,41.8
"Greene, Riley","682985","2024","23","404","463","106","59","23","5","19","122","54",26.3,11.7,".262",".485",".353","0.838",".253",".485",".359",".355",".345",".232",74.6,46,16.9,12.6,31.4,23.4,"7.2","3","90.9","11.5",38.5,13.1,45,"101.75537461","95.28041156",65,18.8,21.9,47.2,52.8,"100","212",50.9,"968","389","1023","403","1913",81.2,"114","607",49.1,"934",41.9,"796",26.5,43.2
"Benintendi, Andrew","643217","2024","29","384","420","82","51","17","0","14","78","33",18.6,7.9,".214",".367",".276","0.643",".248",".399",".281",".307",".308",".152",68,0.9,8.8,7,39.4,31.4,"6.7","11","87.8","15.4",36.4,6.2,34.7,"97.151203333","92.718648131",69.4,17.2,26.3,33.3,65.7,"67","201",47.7,"763","270","933","326","1599",82.1,"100","581",52.3,"837",43.6,"697",21.4,48.9
"Doyle, Brenton","686668","2024","26","464","518","125","78","22","4","21","132","42",25.5,8.1,".269",".470",".331","0.801",".263",".459",".343",".342",".328",".197",71,8.7,15.5,11,34.2,24.4,"7.3","18","89.5","12.9",37.8,11.1,42.8,"101.333886048","94.935566766",73.3,17.8,29.8,56.7,42.6,"165","291",52.1,"975","165","1084","479","1870",81.3,"117","656",47.9,"895",43,"805",29.8,50.6
"Peña, Jeremy","665161","2024","26","501","541","135","98","22","1","14","93","21",17.2,3.9,".269",".401",".312","0.713",".273",".410",".310",".319",".318",".138",72.5,22,15.5,11.7,34.4,25.9,"7.6","8","87.9","7.7",31.3,5.5,38.8,"99.191376195","93.665906088",71.5,10.9,36.7,49.3,49.6,"183","371",52.7,"1012","244","1029","491","1921",87.5,"71","650",47.3,"909",41.5,"797",24.9,53.1
"Sánchez, Jesús","660821","2024","26","398","432","96","58","20","1","17","109","28",25.2,6.5,".241",".425",".297","0.722",".270",".504",".311",".352",".324",".234",75,53.4,20.1,14,34.6,24.1,"7.2","9","93.1","8.1",32.6,13.4,52.4,"104.867241181","97.16491316",73.8,21.9,35,45.6,54.1,"135","296",53.4,"845","274","863","341","1582",77.6,"119","544",46.6,"737",43.3,"685",30.2,53.1
"Ward, Taylor","621493","2024","30","475","536","113","71","23","2","17","139","47",25.9,8.8,".238",".402",".310","0.712",".253",".464",".310",".346",".328",".211",69.5,6.5,15.3,11.9,38.1,29.6,"7","20","91","16.7",43.6,12.5,42.9,"100.014216628","94.502076239",63.9,17.9,21,50.5,49.5,"106","210",48.1,"999","163","1194","535","2076",82.1,"123","688",51.9,"1076",42.7,"886",25.5,43.3
"Steer, Spencer","668715","2024","26","472","541","112","61","30","2","19","110","61",20.3,11.3,".237",".430",".331","0.761",".245",".401",".332",".326",".339",".155",71.6,13.4,13.4,10.6,32.5,25.6,"7.4","19","87.9","16",34.9,6.6,40.4,"99.320133187","93.781644298",64.2,13.2,24.8,46.4,53.3,"127","274",50.7,"1106","184","1329","497","2180",86.8,"91","690",49.3,"1075",43,"937",22.6,44.2
"Castellanos, Nick","592206","2024","32","507","548","126","79","26","3","18","115","32",21,5.8,".249",".418",".301","0.719",".263",".434",".310",".322",".314",".171",71.6,21.5,12.6,9,33.2,23.5,"7.6","10","88.2","15.1",35.8,7.9,37.8,"99.28080731","93.752210992",79.7,18.8,38.3,53.7,46.3,"201","374",50.4,"976","235","871","661","1936",81.2,"144","765",49.6,"960",42.3,"819",30.3,58.8
"Neto, Zach","687263","2024","23","449","496","114","66","28","1","19","114","32",23,6.5,".254",".448",".318","0.766",".242",".436",".331",".323",".309",".194",70.8,14,14.3,10.8,34.5,25.9,"7.1","32","88.3","12.3",29.2,8.8,38.1,"100.142911867","94.26306571",68.4,17.6,31.6,46,53,"139","302",51.6,"955","214","940","525","1850",81.7,"108","612",48.4,"895",42,"777",27,49.4
"Devers, Rafael","646240","2024","27","452","517","131","65","33","5","28","123","58",23.8,11.2,".290",".571",".369","0.940",".283",".551",".389",".380",".364",".268",72.7,30.3,19.9,14.5,33.1,24.1,"7.5","16","93.6","13.2",35.9,14.1,53.6,"104.925618855","97.347294669",73.5,27.1,30.3,35,65,"112","320",52,"1057","229","1266","450","2033",72.9,"194","717",48,"976",42.9,"872",29.5,51
"Henderson, Gunnar","683002","2024","23","522","596","146","83","24","6","33","134","66",22.5,11.1,".280",".538",".366","0.904",".289",".512",".385",".381",".374",".223",76,62.9,22.4,17.6,32.4,25.5,"7.2","15","92.8","8.7",33.8,11.8,54.4,"103.985295026","96.872740643",67.1,18.2,21.9,41.9,58.1,"111","265",50.5,"1209","388","1354","520","2394",81.8,"145","795",49.5,"1185",43.4,"1038",24.2,44.3
"Morel, Christopher","666624","2024","25","454","524","88","57","9","1","21","139","56",26.5,10.7,".194",".357",".294","0.651",".226",".413",".287",".324",".324",".187",76.2,67.2,17.8,11.9,28.8,19.2,"8","22","89.3","14.8",26.6,11,40.8,"101.427111384","94.836244403",68.6,28.5,25.8,48.5,51.5,"133","274",52.3,"1064","209","1089","561","2035",71.5,"190","666",47.7,"971",44.3,"901",34.4,46.2
"Burleson, Alec","676475","2024","25","452","487","126","87","18","0","21","64","24",13.1,4.9,".279",".458",".316","0.774",".281",".458",".332",".335",".320",".176",71.2,17.3,13.7,11.3,37.6,31.1,"7.5","6","89.7","14.5",35.5,7.1,41,"99.398006667","94.028624473",78.6,13.8,33.8,34.4,65.6,"100","291",49.9,"862","223","963","441","1731",86,"94","680",50.1,"865",41.3,"713",20,56.2
"Hernández, Teoscar","606192","2024","31","501","551","132","77","26","1","28","156","43",28.3,7.8,".263",".487",".327","0.814",".252",".489",".349",".344",".317",".237",73,30.4,18.9,12.8,30.1,20.4,"7.7","25","91","9.6",33.2,14.5,47.4,"102.816876647","95.778515",74.9,24.4,28.7,56.8,43.2,"184","324",50.9,"1129","204","1218","601","2217",75.6,"199","816",49.1,"1089",41.6,"923",33.6,51.4
"Chourio, Jackson","694192","2024","20","416","448","113","76","19","2","16","92","26",20.5,5.8,".272",".442",".318","0.760",".283",".432",".327",".329",".329",".149",73,32.7,18.1,13.9,35.2,27.1,"7.4","19","89.6","7.3",32.7,6.7,45.6,"100.82285358","94.841962291",66,15.7,33.4,46.3,53.7,"126","272",50.2,"814","162","930","408","1622",84.1,"84","534",49.8,"809",41.7,"677",26.1,49.7
"Adell, Jo","666176","2024","25","380","424","80","45","15","2","18","119","33",28.1,7.8,".211",".403",".284","0.687",".232",".437",".297",".320",".305",".205",76.6,65,14.9,10.8,24.8,17.9,"7.5","17","89.8","15.4",31.1,11.7,44.7,"102.54623626","95.694140192",72.1,21.5,29.8,49.1,50.9,"133","271",52.2,"910","165","1008","424","1743",78.5,"129","601",47.8,"833",42.3,"738",30,50
"McNeil, Jeff","643446","2024","32","404","446","96","59","25","0","12","61","30",13.7,6.7,".238",".389",".301","0.690",".239",".341",".302",".287",".304",".102",68.8,4.9,8.3,7.1,32.7,28,"7.2","15","87","15",32,2.9,30.8,"96.843134651","92.487627259",78.2,10.9,31.2,32.8,67.2,"79","241",47.8,"773","182","958","395","1617",88,"72","660",52.2,"844",44.4,"718",16.8,55.7
"Turner, Trea","607208","2024","31","387","414","118","84","20","0","14","76","21",18.4,5.1,".305",".465",".348","0.813",".265",".420",".352",".317",".311",".155",71.7,18.7,13.1,10.1,34,26.1,"7.6","9","89.2","10.8",30.1,6.4,41,"99.670897885","94.085515916",74.4,12.5,31.9,51.5,48.5,"135","262",51.5,"821","229","782","487","1594",87.5,"72","575",48.5,"773",41.3,"659",24.7,52.5
"Alvarez, Yordan","670541","2024","27","463","536","144","85","29","2","28","79","60",14.7,11.2,".311",".564",".399","0.963",".304",".598",".404",".412",".394",".294",76.4,61.5,22.4,17.9,34.4,27.6,"7.6","0","93","18.3",34.1,14.2,48.1,"103.975853938","96.55270342",67.7,11.4,30.4,37.8,62.2,"118","312",54.1,"1027","224","1112","468","1896",88.3,"67","589",45.9,"870",43.6,"827",20.5,47.5
"Goldschmidt, Paul","502671","2024","36","497","542","117","77","20","0","20","148","40",27.3,7.4,".235",".396",".295","0.691",".245",".438",".301",".320",".304",".193",72.4,23.5,16.9,12.5,32.5,24.1,"7.8","8","91","13.8",33,9.5,48,"101.533073046","95.428358473",64.5,22.6,29.1,39.4,60.6,"128","325",48.8,"1116","259","1279","544","2289",77.4,"171","755",51.2,"1171",44.3,"1012",27.7,47.2
"Busch, Michael","683737","2024","26","414","472","104","62","24","2","16","143","53",30.3,11.2,".251",".435",".337","0.772",".220",".424",".335",".319",".311",".203",70.1,10.6,13.7,9.6,34.5,24.2,"7.3","16","89.5","16.4",37.6,11.7,39.4,"99.943908971","94.314749191",67.9,21.2,23.6,52,47.5,"127","244",52.2,"1035","311","1107","429","1982",78.5,"136","643",47.8,"947",45.2,"896",29.7,44.8
"Perez, Salvador","521692","2024","34","487","538","137","86","26","0","25","107","38",19.9,7.1,".281",".489",".340","0.829",".281",".554",".350",".372",".341",".273",73.2,33.8,17.3,12.9,33.7,25.1,"7.9","12","91.1","19.6",41.6,13,44.2,"101.83367","95.31950945",77.2,18,42.9,41.2,58.8,"191","464",56.5,"1082","228","901","560","1915",82,"116","643",43.5,"833",40.8,"782",27.7,57.8
"Naylor, Josh","647304","2024","27","465","527","110","62","20","0","28","87","51",16.5,9.7,".237",".460",".319","0.779",".254",".451",".332",".335",".335",".197",72.8,33.1,16.5,13.2,35,27.9,"7.7","7","90.1","11.2",29.9,9.2,42.3,"101.052731684","94.813513842",73.4,15,31.9,37.7,62.3,"124","329",55.3,"1031","406","896","458","1865",84.8,"92","612",44.7,"834",41.5,"774",23,50.5
"Bell, Josh","605137","2024","31","486","543","118","76","22","2","18","105","44",19.3,8.1,".243",".407",".312","0.719",".240",".402",".313",".310",".310",".162",70.4,15.1,15,11.2,35.9,27,"7.9","12","88.5","11.3",31.5,7.6,38.8,"99.825019058","94.00829945",74.3,19.4,28.2,44.9,55.1,"135","301",53.4,"1068","447","1113","352","1999",80.6,"134","692",46.6,"931",43.8,"875",27.1,49.7
"Semien, Marcus","543760","2024","33","533","590","129","84","25","2","18","85","55",14.4,9.3,".242",".398",".314","0.712",".264",".410",".310",".324",".333",".147",68.2,3.2,12.1,9.8,37.8,30.8,"7.7","19","87.5","16.6",34.1,6.2,35,"97.877131525","93.041639103",75.8,11.9,24.8,44,56,"122","277",51.5,"1116","269","1158","557","2167",88.1,"95","797",48.5,"1051",43,"932",20.2,49.6
"Suzuki, Seiya","673548","2024","29","418","471","116","70","21","6","19","127","43",27,9.1,".278",".493",".350","0.843",".251",".459",".360",".339",".329",".208",73,36.1,18,14,34.2,26.4,"7.2","14","91.7","16.8",37.6,11.9,48.5,"102.455052027","95.721400712",59.8,17.5,21,44.1,55.9,"93","211",50.4,"1006","263","1140","470","1998",82.5,"104","593",49.6,"992",42.4,"848",24.5,40.2
"Stott, Bryson","681082","2024","26","414","470","100","74","15","2","9","75","45",16,9.6,".242",".353",".315","0.668",".257",".377",".294",".312",".331",".120",68.1,1.6,8.8,7.6,36.5,31.4,"7.1","18","87.1","15",36.3,4,30.8,"97.243401628","92.677975581",59.3,12.6,26.9,26.4,72.8,"66","250",49,"930","295","1111","388","1897",86.9,"72","573",51,"967",43.3,"822",16.8,43.4
"Arenado, Nolan","571448","2024","33","480","525","130","97","19","0","14","72","35",13.7,6.7,".271",".398",".323","0.721",".252",".359",".315",".294",".307",".107",70.8,14.1,9.3,7.9,31.8,26.9,"8.3","22","85.9","17.3",35.1,3.4,30,"96.713466699","92.366817063",64,10,30,33.2,66.8,"102","307",50.5,"1023","240","1141","473","2025",90,"64","641",49.5,"1002",42.7,"865",17.5,46.8
"Soler, Jorge","624585","2024","32","402","469","95","52","25","1","17","116","59",24.7,12.6,".236",".430",".338","0.768",".245",".447",".336",".346",".346",".202",75.3,55.2,14,10.1,28.3,20.5,"8","7","90.1","18.4",33.9,11.4,41.5,"101.281826207","94.878190623",65.1,17.5,27.6,53.2,46.8,"151","284",53.9,"1030","233","990","537","1919",82.5,"100","573",46.1,"880",40.3,"769",29.3,44.9
"Ohtani, Shohei","660271","2024","29","515","595","152","75","29","6","42","131","69",22,11.6,".295",".619",".380","0.999",".314",".653",".416",".439",".400",".339",76.1,63,24.7,17.5,37.4,26.4,"7.7","7","95.3","15.7",37.1,19.6,58.2,"106.343378402","98.44812478",69.5,23.6,27,44.4,55.6,"144","324",51.7,"1200","358","1266","550","2322",76.4,"184","780",48.3,"1122",41.9,"974",29.7,47.5
"McCutchen, Andrew","457705","2024","37","378","437","89","58","14","1","16","114","51",26.1,11.7,".235",".405",".336","0.741",".237",".443",".327",".340",".338",".205",72.8,27.1,15.7,11.6,30.5,22.5,"7.6","6","88.7","13.9",33.2,12.1,37.7,"99.744797368","94.015092642",65.6,23,16.7,54.3,45.7,"82","151",48.8,"902","172","1050","483","1848",77,"143","621",51.2,"946",44.3,"819",29.1,41.8
"Riley, Austin","663586","2024","27","425","469","109","62","26","2","19","118","37",25.2,7.9,".256",".461",".322","0.783",".272",".517",".338",".366",".338",".245",75.2,53.6,20.2,15.1,32.7,24.4,"7.5","24","93.3","15.9",37.2,14.9,53.4,"103.77151961","96.882758664",72.1,18.7,28,50.2,49.8,"128","255",49.9,"910","150","1114","439","1822",81.3,"123","658",50.1,"913",42.9,"782",27.5,50.1
"Tovar, Ezequiel","678662","2024","22","541","574","148","86","39","2","21","168","18",29.3,3.1,".274",".470",".298","0.768",".237",".400",".326",".287",".265",".163",71.2,18.7,11.6,7.9,30.6,20.7,"7.6","14","88.9","18.8",38.8,8.3,40.4,"99.372840106","94.01787632",81.7,22.8,44.2,53.9,45.3,"257","477",51.6,"1079","208","1164","535","2093",76.7,"189","828",48.4,"1014",40.9,"856",34.2,62.4
"Altuve, Jose","514888","2024","34","529","572","158","117","23","0","18","102","38",17.8,6.6,".299",".444",".351","0.795",".266",".411",".346",".319",".321",".146",69.2,11.9,8.7,6.8,34.1,26.8,"7.8","8","86.3","14",36.3,6.8,30.4,"97.200886794","92.62252717",68.8,12.4,38.1,36.8,62.3,"157","427",55.1,"1120","289","1038","570","2032",86.9,"78","627",44.9,"912",41.6,"845",22.3,51.9
"Garcia, Maikel","672580","2024","24","504","547","121","86","23","5","7","85","35",15.5,6.4,".240",".347",".287","0.634",".272",".392",".278",".312",".319",".120",70.7,11.1,16.7,14.5,42.9,37.3,"7.2","10","90.8","7.5",35.1,4.2,43.8,"100.350193476","94.5901335",63.3,10.5,21.1,30.4,69.1,"62","204",47.5,"969","139","1256","496","2038",88.9,"71","677",52.5,"1069",40.8,"832",15.1,43.2
"García, Luis","671277","2024","24","424","448","123","85","22","1","15","71","23",15.8,5.1,".290",".453",".326","0.779",".289",".471",".334",".341",".325",".182",71.5,22.2,15.8,12.6,35.1,27.9,"7.3","7","88.7","8.8",32.5,7.9,40.4,"100.110008908","94.193491264",68.1,12.6,36,35.4,63.6,"107","302",52.2,"838","282","814","425","1604",86.6,"66","522",47.8,"766",43.5,"697",21,51.4
"Arraez, Luis","650333","2024","27","536","565","166","135","25","2","4","26","18",4.6,3.2,".310",".386",".341","0.727",".316",".411",".319",".331",".348",".095",63,0.1,5.4,5,46.4,43.6,"5.9","7","86.2","13.4",41.7,1.8,23.4,"94.801086627","91.424276569",62.7,5.1,34.6,11.2,88.2,"38","339",48,"981","233","1305","398","2045",94.3,"34","667",52,"1064",43.4,"887",7.2,49.2
"Hoskins, Rhys","656555","2024","31","368","421","79","47","11","0","21","115","40",27.3,9.5,".215",".416",".298","0.714",".203",".396",".309",".300",".290",".193",71.1,13.5,11.3,8.7,29.9,23.1,"8.1","17","88","21.3",28.2,12.4,40.3,"99.291670233","93.74309938",59.2,20.9,25.7,38,62,"84","221",47.5,"861","124","1038","493","1814",79.1,"118","564",52.5,"952",43.2,"783",25.7,43.3
